question_id,year,number,problem_id,subject,domain,topic,problem_difficulty,test_type,previous_years,country,problem_text,answers_text,choices_json,correct_answer,image_path,tex_path,raw_text,extra_json,solution_text,solution_image,mcq_frq,is_published
2025_1,2025,1,2025_1,math,Number and Numeration,Number Bases,,,,,"Find \((101_2)^2\), expressing the answer in base 2.",,"{""A"": ""\\(11101_2\\)"", ""B"": ""\\(10101_2\\)"", ""C"": ""\\(10010_2\\)"", ""D"": ""\\(11001_2\\)""}",D,,,"Find \((101_2)^2\), expressing the answer in base 2.",,Convert \(101_2\) to decimal: \(1\cdot2^2+0\cdot2+1=5\). Then \(5^2=25\). Converting \(25\) to base 2 gives \(11001_2\).,,MCQ,false
2025_2,2025,2,2025_2,math,Commercial Mathematics,Ratio and Proportion,,,,,"If three children share ₦\(10.50\) among themselves in the ratio \(6:7:8\), how much is the largest share?",,"{""A"": ""₦\\(3.50\\)"", ""B"": ""₦\\(4.00\\)"", ""C"": ""₦\\(4.50\\)"", ""D"": ""₦\\(3.00\\)""}",B,,,"If three children share ₦\(10.50\) among themselves in the ratio \(6:7:8\), how much is the largest share?",,Total parts \(=6+7+8=21\). One part \(=₦10.50\div21=₦0.50\). Largest share \(=8\times ₦0.50=₦4.00\).,,MCQ,false
2025_3,2025,3,2025_3,math,Number and Numeration,Standard Form,,,,,Express \(0.000834\) in standard form.,,"{""A"": ""\\(8.34\\times10^{-4}\\)"", ""B"": ""\\(8.34\\times10^{-3}\\)"", ""C"": ""\\(8.34\\times10^4\\)"", ""D"": ""\\(8.34\\times10^3\\)""}",A,,,Express \(0.000834\) in standard form.,,Move the decimal point four places to the right to get \(8.34\). Hence \(0.000834=8.34\times10^{-4}\).,,MCQ,false
2025_4,2025,4,2025_4,math,Number and Numeration,Indices,,,,,Simplify \(0.027^{-\frac{1}{3}}\).,,"{""A"": ""\\(\\frac{3}{10}\\)"", ""B"": ""\\(3\\frac{1}{3}\\)"", ""C"": ""\\(\\frac{1}{3}\\)"", ""D"": ""\\(3\\)""}",B,,,Simplify \(0.027^{-\frac{1}{3}}\).,,\(0.027=\frac{27}{1000}=\left(\frac{3}{10}\right)^3\). Therefore \(0.027^{-1/3}=\left(\frac{3}{10}\right)^{-1}=\frac{10}{3}=3\frac{1}{3}\).,,MCQ,false
2025_5,2025,5,2025_5,math,Number and Numeration,Logarithms,,,,,"Given that \(\log_2 a=\log_8 4\), find \(a\).",,"{""A"": ""\\(2^{\\frac12}\\)"", ""B"": ""\\(2^{\\frac23}\\)"", ""C"": ""\\(4^{\\frac23}\\)"", ""D"": ""\\(4^{\\frac12}\\)""}",B,,,"Given that \(\log_2 a=\log_8 4\), find \(a\).",,"Let \(\log_8 4=y\). Then \(8^y=4\), so \(2^{3y}=2^2\) and \(y=\frac23\). Hence \(\log_2 a=\frac23\), so \(a=2^{\frac23}\).",,MCQ,false
2025_6,2025,6,2025_6,math,Commercial Mathematics,"Profit, Loss, and Discount",,,,,"By selling some crates of soft drinks for ₦\(600.00\), a dealer makes a profit of \(50\%\). How much did the dealer pay for the drinks?",,"{""A"": ""₦\\(400.00\\)"", ""B"": ""₦\\(1200.00\\)"", ""C"": ""₦\\(900.00\\)"", ""D"": ""₦\\(450.00\\)""}",A,,,"By selling some crates of soft drinks for ₦\(600.00\), a dealer makes a profit of \(50\%\). How much did the dealer pay for the drinks?",,"Let the cost price be \(C\). A \(50\%\) profit means \(600=1.5C\). Therefore \(C=\frac{600}{1.5}=400\), so the dealer paid ₦\(400.00\).",,MCQ,false
2025_7,2025,7,2025_7,math,Number and Numeration,Sequences and Series,,,,,"Find the nth term \(U_n\) of the arithmetic progression \(11,4,-3,\ldots\).",,"{""A"": ""\\(U_n=19-7n\\)"", ""B"": ""\\(U_n=19+7n\\)"", ""C"": ""\\(U_n=18-7n\\)"", ""D"": ""\\(U_n=18+7n\\)""}",C,,,"Find the nth term \(U_n\) of the arithmetic progression \(11,4,-3,\ldots\).",,The common difference is \(d=4-11=-7\). Thus \(U_n=a+(n-1)d=11+(n-1)(-7)=18-7n\).,,MCQ,false
2025_8,2025,8,2025_8,math,Number and Numeration,Sets,,,,,"If \(R=\{2,4,6,7\}\) and \(S=\{1,2,4,8\}\), find \(R\cup S\).",,"{""A"": ""\\(\\{1,2,4,6,7,8\\}\\)"", ""B"": ""\\(\\{1,2,4,7,8\\}\\)"", ""C"": ""\\(\\{1,4,7,8\\}\\)"", ""D"": ""\\(\\{2,6,7\\}\\)""}",A,,,"If \(R=\{2,4,6,7\}\) and \(S=\{1,2,4,8\}\), find \(R\cup S\).",,"The union contains every element in either set, without repetition: \(R\cup S=\{1,2,4,6,7,8\}\).",,MCQ,false
2025_9,2025,9,2025_9,math,Number and Numeration,Sequences and Series,,,,,"If \(\frac{16}{9},x,1,y\) are in geometric progression, find \(xy\).",,"{""A"": ""\\(\\frac{16}{9}\\)"", ""B"": ""\\(\\frac34\\)"", ""C"": ""\\(1\\)"", ""D"": ""\\(\\frac43\\)""}",C,,,"If \(\frac{16}{9},x,1,y\) are in geometric progression, find \(xy\).",,"The common ratio satisfies \(x=\frac{16}{9}r\) and \(1=xr\). This gives \(r=\frac34\), so \(x=\frac43\) and \(y=\frac34\). Hence \(xy=1\).",,MCQ,false
2025_10,2025,10,2025_10,math,Number and Numeration,Sets,,,,,"In the Venn diagram, the shaded portion is represented by which set expression?",,"{""A"": ""\\((P\\cup Q)^1\\cap R\\)"", ""B"": ""\\(P^1\\cap Q\\cap R\\)"", ""C"": ""\\(P^1\\cap R\\)"", ""D"": ""\\(Q^1\\cap R\\)""}",C,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_10.png,,"In the Venn diagram, the shaded portion is represented by which set expression?",,"The shaded part is the part of \(R\) outside \(P\), so it is \(P^1\cap R\). The original diagram is required for independent visual verification.",,MCQ,false
2025_11,2025,11,2025_11,math,Algebra,Equations and Inequalities,,,,,Find the values of \(x\) for which \(\frac{6x-1}{x^2+4x-5}\) is undefined.,,"{""A"": ""\\(+5\\text{ or }-1\\)"", ""B"": ""\\(-5\\text{ or }+1\\)"", ""C"": ""\\(-5\\text{ or }-1\\)"", ""D"": ""\\(+4\\text{ or }+1\\)""}",B,,,Find the values of \(x\) for which \(\frac{6x-1}{x^2+4x-5}\) is undefined.,,The expression is undefined when the denominator is zero. Factor \(x^2+4x-5=(x+5)(x-1)\). Therefore \(x=-5\) or \(x=1\).,,MCQ,false
2025_12,2025,12,2025_12,math,Algebra,Equations and Inequalities,,,,,Solve the inequality \(\frac13(2x-1)<5\).,,"{""A"": ""\\(x<-5\\)"", ""B"": ""\\(x<8\\)"", ""C"": ""\\(x<-6\\)"", ""D"": ""\\(x<7\\)""}",B,,,Solve the inequality \(\frac13(2x-1)<5\).,,"Multiply both sides by \(3\): \(2x-1<15\). Then \(2x<16\), so \(x<8\).",,MCQ,false
2025_13,2025,13,2025_13,math,Algebra,Equations and Inequalities,,,,,Find the smaller value of \(x\) for which \(x^2-3x+2=0\).,,"{""A"": ""\\(4\\)"", ""B"": ""\\(2\\)"", ""C"": ""\\(3\\)"", ""D"": ""\\(1\\)""}",D,,,Find the smaller value of \(x\) for which \(x^2-3x+2=0\).,,"Factor \(x^2-3x+2=(x-1)(x-2)\). The roots are \(1\) and \(2\), so the smaller value is \(1\).",,MCQ,false
2025_14,2025,14,2025_14,math,Algebra,Algebraic Expressions,,,,,Factorize \(x(a-c)+y(c-a)\).,,"{""A"": ""\\((a-c)(y-x)\\)"", ""B"": ""\\((a+c)(x+y)\\)"", ""C"": ""\\((a+c)(x-y)\\)"", ""D"": ""\\((a-c)(x-y)\\)""}",D,,,Factorize \(x(a-c)+y(c-a)\).,,"Since \(c-a=-(a-c)\), \(x(a-c)+y(c-a)=x(a-c)-y(a-c)=(a-c)(x-y)\).",,MCQ,false
2025_15,2025,15,2025_15,math,Algebra,Variation,,,,,"If \(y\propto\frac{1}{x^2}\) and \(x=3\) when \(y=4\), find \(y\) when \(x=2\).",,"{""A"": ""\\(3\\)"", ""B"": ""\\(9\\)"", ""C"": ""\\(1\\)"", ""D"": ""\\(18\\)""}",B,,,"If \(y\propto\frac{1}{x^2}\) and \(x=3\) when \(y=4\), find \(y\) when \(x=2\).",,"Write \(y=\frac{k}{x^2}\). When \(x=3\), \(4=\frac{k}{9}\), so \(k=36\). When \(x=2\), \(y=\frac{36}{4}=9\).",,MCQ,false
2025_16,2025,16,2025_16,math,Algebra,Equations and Inequalities,,,,,Solve \(3x^2+25x-18=0\).,,"{""A"": ""\\(-3,2\\)"", ""B"": ""\\(-9,\\frac23\\)"", ""C"": ""\\(-2,9\\)"", ""D"": ""\\(-2,3\\)""}",B,,,Solve \(3x^2+25x-18=0\).,,Factor \(3x^2+25x-18=(3x-2)(x+9)\). Hence \(x=\frac23\) or \(x=-9\).,,MCQ,false
2025_17,2025,17,2025_17,math,Algebra,Equations and Inequalities,,,,,Solve \((x+2)(x-7)=0\).,,"{""A"": ""\\(-1\\text{ or }8\\)"", ""B"": ""\\(-4\\text{ or }5\\)"", ""C"": ""\\(-3\\text{ or }6\\)"", ""D"": ""\\(-2\\text{ or }7\\)""}",D,,,Solve \((x+2)(x-7)=0\).,,"Set each factor equal to zero: \(x+2=0\Rightarrow x=-2\), and \(x-7=0\Rightarrow x=7\).",,MCQ,false
2025_18,2025,18,2025_18,math,Algebra,Simultaneous Equations,,,,,Solve \(x+y=\frac32\) and \(x-y=\frac52\). Use your result to find \(2y+x\).,,"{""A"": ""\\(-2\\)"", ""B"": ""\\(\\frac12\\)"", ""C"": ""\\(1\\)"", ""D"": ""\\(-1\\)""}",C,,,Solve \(x+y=\frac32\) and \(x-y=\frac52\). Use your result to find \(2y+x\).,,"Adding the equations gives \(2x=4\), so \(x=2\). Then \(2+y=\frac32\), so \(y=-\frac12\). Therefore \(2y+x=2\left(-\frac12\right)+2=1\).",,MCQ,false
2025_19,2025,19,2025_19,math,Geometry and Mensuration,Coordinate Geometry,,,,,"Which inequality is illustrated by the sketch graph? The boundary line passes through \((0,3)\) and \((1,0)\), and the region below the line is shaded.",,"{""A"": ""\\(y\\le -3x+3\\)"", ""B"": ""\\(y\\le 3x+2\\)"", ""C"": ""\\(y\\ge -2x+3\\)"", ""D"": ""\\(y\\le x+3\\)""}",A,https://casohrqgydyyvcclqwqm.supabase.co/storage/v1/object/public/waec_math/2025_19.png,,"Which inequality is illustrated by the sketch graph? The boundary line passes through \((0,3)\) and \((1,0)\), and the region below the line is shaded.",,"The gradient is \(\frac{0-3}{1-0}=-3\), so the line is \(y=-3x+3\). The shaded region is below the line, hence \(y\le -3x+3\).",,MCQ,false
